family,run_dir,sample_idx,true_label,pred_label,deletion_auc,insertion_auc,stability,defect_corr
swin_tiny,outputs/swin_tiny_seed123,11598,0,0,0.7295312939554606,0.8279982207604917,0.7322036862373352,-0.0195477813906586
swin_tiny,outputs/swin_tiny_seed123,8612,0,0,0.5162461447612259,0.5945849629852091,0.6673595428466796,0.0102749772777812
swin_tiny,outputs/swin_tiny_seed123,32384,0,0,0.4977148684183703,0.4482279851126804,0.9687773704528808,0.0315462313386767
swin_tiny,outputs/swin_tiny_seed123,22088,0,0,0.5758189614971343,0.4892662493180069,0.6376836121082305,0.001145684413497
swin_tiny,outputs/swin_tiny_seed123,1258,0,0,0.5543888456377317,0.4388381156063587,0.9236660838127136,0.0361117724684293
swin_tiny,outputs/swin_tiny_seed123,3882,0,0,0.5347088339494803,0.7482543714540952,0.8902053117752076,-0.0479408766946011
swin_tiny,outputs/swin_tiny_seed123,26021,0,3,0.7828760448210232,0.135923945119373,0.9339359283447266,-0.091671991479521
swin_tiny,outputs/swin_tiny_seed123,28706,0,0,0.6473366176755917,0.6559972219365591,0.7644860744476318,0.0560219196492802
swin_tiny,outputs/swin_tiny_seed123,12774,0,0,0.5763265074801893,0.7149899681862735,0.8601993083953857,0.0011524780473708
swin_tiny,outputs/swin_tiny_seed123,20577,0,0,0.5899672027310316,0.6123099080068641,0.9633599400520324,0.004566326061714
swin_tiny,outputs/swin_tiny_seed123,20069,0,0,0.6264417566017073,0.7385178892272961,0.9068094849586488,0.009339942528402
swin_tiny,outputs/swin_tiny_seed123,22989,0,0,0.4979586163225349,0.4430645678064593,0.939636731147766,0.0009334430912727
swin_tiny,outputs/swin_tiny_seed123,19017,0,0,0.269967880422314,0.3966989212952967,0.7932367920875549,-0.0045790012191383
swin_tiny,outputs/swin_tiny_seed123,31697,0,0,0.5092938389825576,0.5621293195313228,0.8516610026359558,0.0347946084283659
swin_tiny,outputs/swin_tiny_seed123,23363,0,0,0.5380273159182707,0.5325369142365162,0.8224762916564942,0.0249742160093688
swin_tiny,outputs/swin_tiny_seed123,18777,0,0,0.5254869578725447,0.6698131066024189,0.9340262055397034,-0.0264748995581161
swin_tiny,outputs/swin_tiny_seed123,11832,0,0,0.5447522783351815,0.6855518057855079,0.8167275011539459,0.0001304254375086
swin_tiny,outputs/swin_tiny_seed123,28618,0,0,0.793138919500052,0.5878508492960464,0.6053233951330185,0.0265324014665425
swin_tiny,outputs/swin_tiny_seed123,22858,0,0,0.5153986534660362,0.5133710956813502,0.9955848574638366,0.0437276190824626
swin_tiny,outputs/swin_tiny_seed123,511,0,0,0.3993400046905435,0.393740670416264,0.9570682525634766,0.0198102902697613
