family,sample_idx,pred_label,true_label,deletion_auc,insertion_auc
vit_tiny_gradcam,11598,0,0,0.6706529930233955,0.8806666290474823
vit_tiny_gradcam,8612,0,0,0.4280486210300296,0.664451259712223
vit_tiny_gradcam,32384,0,0,0.694275175446819,0.6043119624664541
vit_tiny_gradcam,22088,0,0,0.5901402748277178,0.733825788469403
vit_tiny_gradcam,1258,0,0,0.4217799682628538,0.6891851393720572
vit_tiny_gradcam,3882,2,0,0.13220639311745686,0.27057775239076065
vit_tiny_gradcam,26021,3,0,0.36027855320935487,0.5879903459244815
vit_tiny_gradcam,28706,0,0,0.8491903044414357,0.7682506416749675
vit_tiny_gradcam,12774,0,0,0.48963861938682385,0.6111350585488253
vit_tiny_gradcam,20577,0,0,0.8603242640092503,0.7160889606893761
vit_tiny_gradcam,20069,0,0,0.8605335080937948,0.83415371641604
vit_tiny_gradcam,22989,0,0,0.6767784658368328,0.3211108722462086
vit_tiny_gradcam,19017,0,0,0.6286991197302996,0.8563986419612775
vit_tiny_gradcam,31697,0,0,0.6850672319633304,0.8046713103249203
vit_tiny_gradcam,23363,0,0,0.5893841482429707,0.629063608677825
vit_tiny_gradcam,18777,0,0,0.9169204821955645,0.7985207903984701
vit_tiny_gradcam,11832,0,0,0.6505544645006012,0.8054819077660795
vit_tiny_gradcam,28618,0,0,0.7137745353102218,0.8599627349321963
vit_tiny_gradcam,22858,0,0,0.7910577123584517,0.692102694391906
vit_tiny_gradcam,511,3,0,0.09343350966355501,0.27914777326896
vit_tiny_gradcam,29736,0,0,0.8378112799182418,0.7981636919430457
vit_tiny_gradcam,33474,0,0,0.9002541248846683,0.8995497276628157
vit_tiny_gradcam,25573,0,1,0.7284548894822365,0.7878363233321579
vit_tiny_gradcam,4312,1,1,0.5285538474188343,0.38489582775684994
vit_tiny_gradcam,24225,1,1,0.3670248999266761,0.2554079253578152
vit_tiny_gradcam,5114,2,1,0.21564953287477806,0.19788630305798094
vit_tiny_gradcam,107,0,1,0.3601271920979343,0.5302998565930466
vit_tiny_gradcam,10443,3,1,0.13555021825095537,0.25508201658908547
vit_tiny_gradcam,5117,1,1,0.4388985987547471,0.3667446904267422
vit_tiny_gradcam,27764,1,1,0.25358117392852364,0.2811819681643897
vit_tiny_gradcam,31588,1,1,0.5445110232586785,0.35761475383623065
vit_tiny_gradcam,5131,2,1,0.23930417716734098,0.5268250122566478
vit_tiny_gradcam,1761,1,1,0.35808459248443114,0.26887493506893634
vit_tiny_gradcam,34288,2,1,0.33900986561977575,0.3676965539037731
vit_tiny_gradcam,26309,1,1,0.07949330008841571,0.08428570603297203
vit_tiny_gradcam,21752,2,1,0.3293569928625857,0.36177335212091677
vit_tiny_gradcam,20801,1,1,0.4729762151711867,0.33737432793583366
vit_tiny_gradcam,17666,0,1,0.7935471860691905,0.681067791825626
vit_tiny_gradcam,16706,1,1,0.20116094334038337,0.3047842372610603
vit_tiny_gradcam,6553,1,1,0.3437548343626986,0.41878412929412434
vit_tiny_gradcam,18583,1,1,0.2737054032050992,0.4468576570382652
vit_tiny_gradcam,20787,1,1,0.4460638342168153,0.24335527337723306
vit_tiny_gradcam,33870,0,1,0.5878612079613958,0.8410165597015293
