family,sample_idx,category,defect_type,pred_label,true_label,native_del,native_ins,rise_del,rise_ins,native_iou,rise_iou
resnet18_cbam,0,zipper,rough,1,1,0.26520409727900107,0.8242561353873139,0.8184642464672001,0.9682063167393291,0.21175804472964047,0.02507333426456209
resnet18_cbam,1,tile,oil,1,1,0.27169781009744814,0.8994357719385018,0.9646723679964136,0.9644481781479637,0.6306280875088215,0.23702511464059037
resnet18_cbam,2,zipper,fabric_border,1,1,0.5669290724432722,0.8769943843072407,0.9449616207204633,0.9727750146713017,0.10166498486377397,0.028316285111219353
resnet18_cbam,3,capsule,crack,1,1,0.49220758703519146,0.7565933212103768,0.9985081590311893,0.9746938037433803,0.0072698803265853935,0.023772609819121448
resnet18_cbam,4,leather,fold,1,1,0.3580636205800455,0.6467065284610416,0.9283123257634585,0.9494565681353062,0.19343820224719102,0.04988142938915692
resnet18_cbam,5,grid,broken,1,1,0.7602262119272023,0.9279393572952042,0.8482094200012682,0.8810934013209273,0.013058875608676405,0.0034812626159201943
resnet18_cbam,6,carpet,hole,1,1,0.05155883026209936,0.8650241302576644,0.5689569727838507,0.6026974006041945,0.06851153039832285,0.011811368077225933
resnet18_cbam,7,cable,combined,1,1,0.6893770643582061,0.9747441126792775,0.9747749930616791,0.974634690371263,0.21439230641684628,0.07484800188890857
resnet18_cbam,8,pill,color,1,1,0.5197813611961647,0.9743186662317977,0.9894788446981693,0.921183069810527,0.04043889921245907,0.023064499848591904
resnet18_cbam,9,zipper,fabric_border,1,1,0.4950711332988581,0.9426907343177529,0.9679054553181512,0.9394474198643958,0.07754120476274268,0.0179837364470392
resnet18_cbam,10,zipper,broken_teeth,1,1,0.3227879907309543,0.731110546671454,0.9715107488256256,0.9746849665326092,0.05655579290001017,0.011054937647455342
resnet18_cbam,11,cable,poke_insulation,1,1,0.39842638264229774,0.9746707840905084,0.9776973874384112,0.9747589833869508,0.05016691394658754,0.010799265410412009
resnet18_cbam,12,zipper,squeezed_teeth,1,1,0.191784505070955,0.8152569110358867,0.874380359981993,0.97442602076359,0.08004359409057883,0.0017845033727113744
resnet18_cbam,13,wood,combined,1,1,0.8876746238073923,0.8379223106356501,0.9063226742052602,0.9737817177820627,0.008591290661070304,0.11309789897183728
resnet18_cbam,14,leather,cut,1,1,0.6985497212787863,0.9279360276987656,0.8494521793317026,0.9700808333519173,0.02817676517527929,0.17917304747320062
resnet18_cbam,15,tile,oil,1,1,0.26539203731576977,0.9475965021202366,0.8959071996005417,0.9208753823250528,0.737339380196523,0.1631537059382301
resnet18_cbam,16,tile,glue_strip,1,1,0.1887257780136038,0.9269835396544888,0.9709292051892646,0.8757575301052067,0.3242411812961444,0.034880042182968626
resnet18_cbam,17,leather,poke,1,1,0.273523981735439,0.8698846057846505,0.951036591997763,0.9722054555432489,0.013928677269584116,0.0
resnet18_cbam,18,metal_nut,flip,1,1,0.6790772307238779,0.9190756982062023,0.9207651829012914,0.9021138631879377,0.35041983433564056,0.3776103376777251
resnet18_cbam,19,screw,scratch_neck,1,1,0.6141595736806852,0.9746999445024496,0.9692340521840822,0.9636899389088878,0.026777295870262115,0.008079198907601275
resnet18_cbam,20,hazelnut,cut,1,1,0.13335985320703886,0.9645742171533722,0.9665343796259549,0.9168529601821003,0.039088283828382836,0.044808220814912175
resnet18_cbam,21,screw,scratch_neck,1,1,0.5279892466784791,0.9747590340385297,0.9936829138314351,0.9734160074231706,0.019318181818181818,0.00885039519144304
resnet18_cbam,22,capsule,squeeze,1,1,0.5707968728448655,0.9710855044405118,0.9997381208941079,0.9737117977466052,0.2590577950461389,0.1229739252995067
resnet18_cbam,23,cable,missing_cable,1,1,0.6011531084198265,0.9747505722453436,0.9747567965952058,0.9747592277063315,0.38526387936943113,0.12251602008004256
resnet18_cbam,24,screw,thread_side,0,1,0.040154345037480665,0.1323320073667837,0.02247527445455687,0.025067779610812364,0.0,0.0034419458467186783
resnet18_cbam,25,toothbrush,defective,0,1,0.21660465156647074,0.40013351185110135,0.0950556718215241,0.06422168868034861,0.0,0.0011474732638729517
resnet18_cbam,26,zipper,combined,1,1,0.6093535928634374,0.8840754958983463,0.9788417308145654,0.9685373307666534,0.16170231970394439,0.05884059372431465
resnet18_cbam,27,grid,bent,1,1,0.644024911341238,0.7991043108938267,0.9968737726157997,0.9649413964080533,0.02206021586820678,0.005586054126938265
resnet18_cbam,28,screw,manipulated_front,1,1,0.24231875206246908,0.9326223877588429,0.9581054131176678,0.9744342903787266,0.019980239323745746,0.2475442043222004
resnet18_cbam,29,bottle,broken_small,1,1,0.6633753848728913,0.9747502564178514,0.9747710112097749,0.9747592396243501,0.2760073540677187,0.12274700319084715
resnet18_cbam,30,carpet,hole,1,1,0.11259080573089042,0.8026800524789179,0.7467538180666278,0.6513658550535222,0.10087302273316621,0.011706597389268417
resnet18_cbam,31,carpet,hole,1,1,0.08377850485336105,0.632764672082927,0.5726440410284274,0.6726167273809787,0.03760481070551368,0.00852329605583045
resnet18_cbam,32,leather,glue,1,1,0.4075679092885076,0.7369765123430863,0.9960017758894537,0.9736081050260192,0.05495251017639077,0.0027303438382155583
resnet18_cbam,33,zipper,fabric_border,1,1,0.2921428212190615,0.9602038469684568,0.9669589978066497,0.9727008786367743,0.1431548428014859,0.021941138079995027
resnet18_cbam,34,bottle,contamination,1,1,0.3258984763959928,0.884985114364272,0.9726586889227977,0.9747416605469563,0.6867875647668393,0.04883400639604099
resnet18_cbam,35,cable,combined,1,1,0.7827091764196976,0.9717794578874102,0.9965589402781916,0.9747449677971101,0.15805445502823906,0.0447369723363191
resnet18_cbam,36,wood,combined,1,1,0.7723814965306894,0.9357525033820504,0.9174001223727828,0.9548414566716612,0.00786727673721979,0.04319793681495809
resnet18_cbam,37,leather,color,1,1,0.2529657770546693,0.6661091505363455,0.9365207777238912,0.9741618042508573,0.013739147027955348,0.003973988439306358
resnet18_cbam,38,zipper,fabric_border,1,1,0.35241830774091004,0.9744565577066762,0.9624833360442928,0.9255590876464932,0.08585184755496258,0.02101483710861186
resnet18_cbam,39,screw,scratch_head,1,1,0.42037133393047316,0.7518088280224358,0.986681930058694,0.9530997782940769,0.019869281045751634,0.0004568643874210005
resnet18_cbam,40,hazelnut,print,1,1,0.20019951683515722,0.9746678701349676,0.7384443873204035,0.8738215716376228,0.22564102564102564,0.0709158771174275
resnet18_cbam,41,metal_nut,bent,1,1,0.12394856842894762,0.6734434819868678,0.8887585276903388,0.8906951932067979,0.21287177956828807,0.03745751189666893
resnet18_cbam,42,capsule,crack,1,1,0.724570177810412,0.9747081887917968,0.9965278461677372,0.9747034990514887,0.07252162341982701,0.3149171270718232
resnet18_cbam,43,leather,cut,1,1,0.09881967946858397,0.81243931753976,0.8561589831980381,0.9717532740006074,0.014298978644382544,0.0008501498948498814
resnet18_cbam,44,leather,poke,1,1,0.26552708770074834,0.8767876783793465,0.9646004636100128,0.9725691696340302,0.015384615384615385,0.004482508201237072
resnet18_cbam,45,metal_nut,color,1,1,0.3412993744989454,0.8586886449767259,0.9747406966136776,0.9736720094416025,0.04532954847866584,0.015000925983085375
resnet18_cbam,46,zipper,broken_teeth,1,1,0.3870208143011308,0.7825494951554022,0.9639727712387949,0.9606784850375927,0.15617151892847178,0.018073954903094443
resnet18_cbam,47,capsule,poke,1,1,0.5993222811385398,0.9746884167989858,0.9775377934379321,0.9607888905821393,0.016878858024691357,0.08745627186406797
resnet18_cbam,48,capsule,crack,1,1,0.7785145878147512,0.9747431800943243,0.9962274465506198,0.973192076792716,0.02022826389533265,0.009633911368015413
resnet18_cbam,49,screw,scratch_neck,1,1,0.5290152505444072,0.9658322057267152,0.9860123355520045,0.9632278594518222,0.0485994983277592,0.011047956497133436
densenet121,0,zipper,rough,1,1,0.699415030678983,0.929248363185069,0.9747707829546961,0.9747711844618596,0.21845794392523366,0.30634023854362835
densenet121,1,tile,oil,1,1,0.9666535959803593,0.9663062762036123,0.9747987805072924,0.9747755121923536,0.5631380977968834,0.1532999164578112
densenet121,2,zipper,fabric_border,1,1,0.6828709427626851,0.9747757743887622,0.9747756649908954,0.9747758131223225,0.0901767733273663,0.4309670206819452
densenet121,3,capsule,crack,1,1,0.7503825775332587,0.9735279042131868,0.9747557033529048,0.9747687472270616,0.006639427987742594,0.2
densenet121,4,leather,fold,1,1,0.5583801509363404,0.8725260933595775,0.9747786447937798,0.97477412374319,0.21413777577667717,0.01540526719509077
densenet121,5,grid,broken,1,1,0.9736481951911173,0.9747642377467844,0.974820321156173,0.9747758161018272,0.011474419808472091,0.15358361774744028
densenet121,6,carpet,hole,1,1,0.3261895855549284,0.9739787449787389,0.974776800247632,0.9747746749515489,0.07168553128016145,0.44541484716157204
densenet121,7,cable,combined,1,1,0.9622972207869855,0.9736102517625103,0.977645266591253,0.9747758161018272,0.31357878847542164,0.1660910518053375
densenet121,8,pill,color,1,1,0.8357019321884005,0.9746622820774054,0.974834099258544,0.974774657074521,0.044394793083349524,0.555
densenet121,9,zipper,fabric_border,1,1,0.6270364102039867,0.9747757982247993,0.9747749109288986,0.9747758161018272,0.11203389830508474,0.2645228215767635
densenet121,10,zipper,broken_teeth,1,1,0.8935454248268222,0.747071635195697,0.9747720024464517,0.9747757445937157,0.0565685481361628,0.2139406487232574
densenet121,11,cable,poke_insulation,1,1,0.8298853175500973,0.9747412955610333,0.9748247483509118,0.9747725892982988,0.04997228893404766,0.011116819069146204
densenet121,12,zipper,squeezed_teeth,1,1,0.5550721311516744,0.9626339339381946,0.9747683660119542,0.9747724552205899,0.07985985260360033,0.0807377549774032
densenet121,13,wood,combined,1,1,0.7268684840667827,0.924735402101577,0.9747762745905622,0.974774415734645,0.01116439971695888,0.014389517569982132
densenet121,14,leather,cut,1,1,0.5634216041349269,0.8761353086018904,0.9747940616498916,0.9747757982247993,0.02821092071188495,0.25257249766136575
densenet121,15,tile,oil,1,1,0.8021891147826601,0.9743046074425354,0.9996872354240622,0.9747749788610225,0.6201177100053504,0.39766113679630133
densenet121,16,tile,glue_strip,1,1,0.9334470282505176,0.9746483975857689,0.9747674453901194,0.9747749311889482,0.37248203557545057,0.6421939106024617
densenet121,17,leather,poke,1,1,0.5749535673214439,0.9737143288391952,0.9747768122834923,0.97477429059545,0.012887304633945709,0.004687344170739005
densenet121,18,metal_nut,flip,1,1,0.9222592468920707,0.9733641416994931,0.9748285293248458,0.9747758041838086,0.3148984496738241,0.1422906955626854
densenet121,19,screw,scratch_neck,1,1,0.8868962992972627,0.9747752440369357,0.97480431171034,0.9747758161018272,0.02843696805847602,0.06572552649849572
densenet121,20,hazelnut,cut,1,1,0.2298036175520286,0.9746136833771732,0.9988599446751323,0.9747536932798528,0.03914480479239826,0.13059958649207443
densenet121,21,screw,scratch_neck,1,1,0.7905512874204295,0.9747748924553878,0.9747746791502063,0.9747757416142111,0.019175553732567678,0.07937181663837012
densenet121,22,capsule,squeeze,1,1,0.6705509762844937,0.9747132494838286,0.9984745174442651,0.9747756164750161,0.23396261857800318,0.17770504428186368
densenet121,23,cable,missing_cable,1,1,0.8411304938091684,0.9746988167633379,0.974795444486297,0.9747758041838086,0.5824062095730919,0.21433940652181693
densenet121,24,screw,thread_side,0,1,0.27904537754270764,0.3641774155514051,0.04684314783308168,0.025001660994466924,0.009937888198757764,0.0016310911058484026
densenet121,25,toothbrush,defective,1,1,0.7903630523860059,0.9746685300986417,0.9982711156008008,0.9747737423665956,0.025867315885575167,0.03631915694392172
densenet121,26,zipper,combined,1,1,0.806742483326186,0.9747648574837502,0.9747778245178207,0.9747758041838086,0.110863732374265,0.08998435054773082
densenet121,27,grid,bent,1,1,0.9537723745867126,0.9746583163567255,0.9747770018457462,0.9747758161018272,0.02247516157036751,0.005519464660772725
densenet121,28,screw,manipulated_front,1,1,0.8354671943344938,0.9747625543266611,0.9747884065704469,0.9747757982247993,0.017598143492554633,0.08668076109936575
densenet121,29,bottle,broken_small,1,1,0.9626935048868646,0.9747750593076479,0.9747677712690752,0.9747758161018272,0.25889598540145986,0.14735465701066183
densenet121,30,carpet,hole,1,1,0.7256180273800261,0.9246493494451204,0.9747684002187915,0.9747752410574311,0.10124056562852433,0.05497465145754119
densenet121,31,carpet,hole,1,1,0.319611215840248,0.9153577239693096,0.9753162029886653,0.9747633021823265,0.04109208699676076,0.012311104949396922
densenet121,32,leather,glue,1,1,0.3682728400148658,0.9550447944591713,0.9747851480427592,0.974774916291425,0.0576219512195122,0.011473842371260756
densenet121,33,zipper,fabric_border,1,1,0.8628000239716656,0.974695244337271,0.9748043921802427,0.9747758161018272,0.11071245515120451,0.30243161094224924
densenet121,34,bottle,contamination,1,1,0.6578380770504815,0.9747461461945921,0.9748075140464323,0.9747755866799697,0.7194638474608269,0.2590649793456167
densenet121,35,cable,combined,1,1,0.8606799733821191,0.9747754645202793,0.9747787253946179,0.9747758161018272,0.10123686885801424,0.11572561829211386
densenet121,36,wood,combined,1,1,0.4522003518222082,0.9745726496392297,0.9997491003687173,0.9747758161018272,0.010159781587074252,0.08451503119682359
densenet121,37,leather,color,1,1,0.5526446834830647,0.9272423301202242,0.9747990655126237,0.9747750265330968,0.013523666416228399,0.0069509197253539035
densenet121,38,zipper,fabric_border,1,1,0.8533340848768116,0.9747753512991029,0.9747699249002766,0.9747758161018272,0.09260997434453414,0.2676470588235294
densenet121,39,screw,scratch_head,1,1,0.7270865979985786,0.974770634743253,0.9929725135189074,0.9747758161018272,0.016896398399288574,0.05967825635703165
densenet121,40,hazelnut,print,1,1,0.26572037616274713,0.9747226915340423,0.974769051254377,0.9747747464596603,0.2825504022246499,0.2461323592608509
densenet121,41,metal_nut,bent,1,1,0.5771107144888719,0.9746299395545055,0.9888982301181386,0.9747727174169984,0.22531939605110338,0.2358920434630214
densenet121,42,capsule,crack,1,1,0.773668567434818,0.9742980659400917,0.9747573281067563,0.9747677446237493,0.07620093877958654,0.27874885004599814
densenet121,43,leather,cut,1,1,0.19905523018791982,0.9256717106907661,0.9747997688648482,0.9747755300693814,0.014230271668822769,0.003984618814088275
densenet121,44,leather,poke,1,1,0.1947977077709826,0.9746720280370926,0.9747964098050659,0.97477579226579,0.016826471141191953,0.2245922208281054
densenet121,45,metal_nut,color,1,1,0.3147145136425511,0.9745743077335636,0.9869694686440198,0.9747757982247993,0.0493862955446023,0.3238276299112801
densenet121,46,zipper,broken_teeth,1,1,0.7828680884990753,0.974628917584413,0.9747685701960398,0.9747726846424474,0.1866681095119576,0.5178849144634525
densenet121,47,capsule,poke,1,1,0.6857262753174496,0.9734433190558764,0.9996797375006281,0.9747752738319821,0.0175561797752809,0.08780732563973909
densenet121,48,capsule,crack,1,1,0.9048415103897938,0.9724288707227959,0.9747624581779881,0.9747531212149614,0.022000201836714098,0.011980676328502415
densenet121,49,screw,scratch_neck,1,1,0.8771617701471159,0.9747665736784246,0.9747806760783444,0.9747758161018272,0.046085232903865216,0.01752496167709326
